Document ID,Paragraph ID,Paragraph
1,11,"5. FEES — In addition to the periodic rate, additional fees may be imposed on Your Account. If applicable to Your Account, the fee amounts and explanations are disclosed on the Account Opening Disclosure accompanying this Agreement"
1,12,"6. FOREIGN TRANSACTIONS — Purchases and cash advances made in foreign currencies will be debited from Your Account in U.S. dollars. The exchange rate between the transaction currency and the billing currency used for processing international transactions is a rate selected by Mastercard from a range of rates available in wholesale currency markets for the applicable central processing date, which rate may vary from the rate Mastercard itself receives or the governmentmandated rate in effect for the applicable central processing date. The exchange rate used on the processing date may differ from the rate that would have been used on the purchase date or cardholder statement posting date. A fee (finance charge), calculated in U.S. dollars, will be imposed on all foreign transactions, including purchases, cash advances and credits to Your Account. A foreign transaction is any transaction that You complete or a merchant completes on Your Card outside of the United States, with the exception of U.S. military bases, U.S. territories, U.S. embassies or U.S. consulates. The Foreign Transaction Fee is set forth on the Disclosure accompanying this Agreement"
1,13,"7. AUTHORIZATIONS — We do not guarantee authorization of a transaction, either by Us or by a third party, even if You have sufficient credit available. You agree that We will not be liable for failing to give an authorization. We also reserve the right to limit the number of transactions that may be approved in one day. We reserve the right to deny certain transactions for any reason and at Our sole discretion, including for default, suspected fraudulent or unlawful activity, internet gambling or any indication of increased risk related to the transaction or the Account. You agree that We have no requirement to notify You of the specific reason We denied a transaction. If We detect unusual or suspicious activity, We may suspend Your credit privileges until We can verify the activity, or We may close the Account."
1,14,"8. INFORMATION UPDATING SERVICE AND AUTHORIZATIONS — If You have authorized a merchant to bill charges to Your Card on a recurring basis, it is Your responsibility to notify the merchant in the event Your Card is replaced, Your Account information (such as Card number or expiration date) changes, or Your Account is closed. However, if Your Card is replaced or Your Account information changes, You authorize Us, without obligation on Our part, to provide the updated Account information to the merchant in order to permit the merchant to bill recurring charges to Your Card. You authorize Us to apply such recurring charges to Your Card until You notify Us that You have revoked authorization for the charges to Your Card. Your Card is automatically enrolled in an information updating service. Through this service, Your updated Account information (such as Card number or expiration date) may be shared with participating merchants to facilitate continued recurring charges. Updates are not guaranteed before Your next payment to a merchant is due. You are responsible for making direct payment until recurring charges resume. To revoke Your authorization allowing Us to provide updated Account information to a merchant, please contact Us."
1,15,"9. PREAUTHORIZED CHARGES — We may suspend preauthorized recurring charges with merchants if, for example, Your Card is lost or stolen, You default, or We change Your Account for any reason. If preauthorized recurring charges Page 2 of 5 04501990-MXC30-P-1-031519 (MXC303-E) 9/2019 are suspended, You are responsible for making direct payment for such charges until You contact the merchant to reinstate recurring charges."
1,16,"10. DEFAULT — You will be in default under this Agreement if You fail to pay the Minimum Payment Due by its Payment Due Date; pay by a check or similar instrument that is not honored or that We must return because it cannot be processed; pay by automatic debit that is returned unpaid; make any false or misleading statements in any credit application or credit update; file for bankruptcy; or die. You will also be in default if You fail to comply with the terms of this Agreement or any other Agreement You have with Us. If You default, We may close Your Account and require You to pay any unpaid balance immediately, subject to applicable law. In this Agreement and on Your Credit Card Application, You gave Us a security interest in all individual or joint share and/or deposit accounts with the Credit Union and authorized Us, if You defaulted, to apply the balance in these accounts to any amounts due. You agree We may rely on Your agreement and authorization to, upon Your default, apply any balance to any amounts due on Your Account."
1,17,"11. LIABILITY FOR UNAUTHORIZED USE-LOST/STOLEN CARD NOTIFICATION — If You notice the loss or theft of Your credit card or a possible unauthorized use of Your Card, You should write to Us immediately at the address listed on Your bill or call Us toll-free at 800-449-7728 or 855-584-2958, seven days a week and weekends 24 hours a day. You may also contact Us on the Web: www.1stadvantage.org or answers@1stadvantage.org. You will not be liable for any unauthorized use that occurs after You notify Us. You may, however, be liable for unauthorized use that occurs before Your notice to Us. However, if You exercise reasonable care in safeguarding Your Card from risk of loss or theft and, upon discovering the loss or theft promptly report the loss or theft to Us, You will not be liable for any unauthorized transactions. In any case, Your liability for unauthorized transactions will not exceed $50."
1,18,"12. CHANGING OR TERMINATING YOUR ACCOUNT — As permitted by law, the Credit Union may change the terms of this Agreement and any attached Disclosure from time to time. Notice of any change will be given in accordance with applicable law. To the extent permitted by law, changes to the Agreement may apply to Your existing account balance as well as to future transactions."
1,19,"Arizona, California, Idaho, Louisiana, New Mexico, Nevada, Texas, Washington, and Wisconsin Residents - Either You, Your spouse or the Credit Union may terminate this Agreement at any time, but termination by You, Your spouse or the Credit Union will not affect Your obligation to pay the account balance plus any finance and other charges You or Your spouse owe under this Agreement. Your obligation to pay the account balance plus any finance and other charges You owe under this agreement are subject to all applicable laws and regulations regarding repayment requirements. The Card or Cards You receive remain the property of the Credit Union and You must recover and surrender to the Credit Union all Cards upon request or upon termination of this Agreement whether by You or the Credit Union."
1,20,"Residents of all other states - Either You or the Credit Union may terminate this Agreement at any time, but termination by You or the Credit Union will not affect Your obligation to pay the account balance plus any finance and other charges You owe under this Agreement. Your obligation to pay the account balance plus any finance and other charges You owe under this agreement are subject to all applicable laws and regulations regarding repayment requirements. The Card or Cards You receive remain the property of the Credit Union and You must recover and surrender to the Credit Union all Cards upon request or upon termination of this Agreement whether by You or the Credit Union."
1,21,"13. AUTHORIZED USERS — Upon Your request, We may issue additional Cards for authorized users that You designate. You must notify Us in writing of any termination of an authorized user's right to access Your Account. Your notice must include the name of the authorized user and Your Account number and/or any subaccount number issued to the authorized user along with the authorized user's Card and any convenience or other access checks issued to the authorized user. If You cannot return the authorized user's Card or access checks and if You request Your Account to be closed, We will close Your Account and You may apply for a new Account. Alternatively, We may, at Our sole discretion, issue You a new Account number and a new Card."
1,22,"14. CREDIT REPORTS AND NOTICE OF NEGATIVE INFORMATION — You authorize the Credit Union to obtain credit reports and any other information We may need to verify Your identity and use of the Account when opening Your Account and for any update, increase, renewal, extension, collection or review of Your Account. You authorize the Credit Union to disclose information regarding Your Account to credit bureaus and creditors who inquire about Your credit standing. We may report information about Your Account to credit bureaus. Late payments, missed payments, or other defaults on Your Account may be reflected on Your credit report"
1,23,"15. JOINT ACCOUNTS — If this is a joint Account, each of You will be individually and jointly responsible for paying all amounts owed under this Agreement. This means that the Credit Union can require any one of You individually to repay the entire amount owed under this Agreement. Each of You authorizes the other(s) to make transactions on the Account individually. Any one of You may terminate the Account and the termination will be effective as to all of You"
1,24,"16. EFFECT OF AGREEMENT — This Agreement is the contract which applies to all transactions on Your Account even though the sales, cash advances, credit or other slips You sign or receive may contain different terms."
1,25,"17. SEVERABILITY AND FINAL EXPRESSION — This Agreement is the final expression of the terms and conditions of Your Account. This written Agreement may not be contradicted by evidence of any alleged oral Agreement. Should any Page 3 of 5 04501990-MXC30-P-1-031519 (MXC303-E) 9/2019 part of this Agreement be found to be invalid or unenforceable, all other parts of this Agreement shall remain in effect and fully enforceable to the fullest extent possible under this Agreement."
1,26,"18. ILLEGAL TRANSACTIONS PROHIBITED — You agree that You will not use Your Card for any transaction, including any type of electronic gambling transaction through the Internet, that is illegal under applicable federal, state, or local law. Even if You use Your Card for an illegal transaction, You will be responsible for all amounts and charges incurred in connection with the transaction. This paragraph shall not be interpreted as permitting or authorizing any transaction that is illegal."
1,27,19. APPLICABLE LAW — The terms and enforcement of this Agreement shall be governed by federal law and the law of Virginia
1,28,20. ENFORCING THIS AGREEMENT — We can delay in enforcing or fail to enforce any of Our rights under this Agreement without losing them
1,29,"21. COLLECTION COSTS — If We refer collection of Your Account to a lawyer who is not Our salaried employee, You are liable for any reasonable attorney’s fees We incur, plus the costs and expenses of any legal action, as further disclosed on this Agreement, or to the extent allowed by law"
1,30,22. ASSIGNMENT — We may assign any or all of Our rights and obligations under this Agreement to a third party.
1,31,"23. CALIFORNIA RESIDENTS — A married applicant may apply for a separate Account. Applicants: 1) may, after credit 
approval, use the credit card Account up to its credit limit; 2) may be liable for amounts extended under the plan to any 
joint applicant. As required by law, You are hereby notified that a negative credit report reflecting on Your credit record 
may be submitted to a credit reporting agency if You fail to fulfill the terms of Your credit obligations"
1,32,"24. FLORIDA RESIDENTS — You (borrower) agree that, should We obtain a judgment against You, a portion of Your disposable earnings may be attached or garnished (paid to Us by Your employer), as provided by Florida and Federal law"
1,33,"25. MARYLAND RESIDENTS — To the extent, if any, that Maryland law applies to Your Account, We elect to offer Your Card Account pursuant to Title 12, Subtitle 9 of the Maryland Commercial Law Article"
1,34,"26. MISSOURI RESIDENTS — Oral Agreements or commitments to loan money, extend credit or to forbear from enforcing repayment of a debt including promises to extend or renew such debt are not enforceable. To protect You (borrower(s)) and Us (creditor) from misunderstanding or disappointment, any Agreements We reach covering such matters are contained in this writing, which is the complete and exclusive statement of the Agreement between Us, except as We may later agree in writing to modify it."
1,35,"27. NEW YORK RESIDENTS — We may obtain a credit report in connection with this Account, including for any review, modification, renewal or collections associated with this Account. Upon Your request, You will be informed whether such report was requested and, if so, the name and address of the consumer reporting agency furnishing the report. New York residents may contact the New York State Banking Department at 800.342.3736 or www.dfs.ny.gov to obtain a comparative listing of credit card rates, fees and grace periods."
1,36,28. OHIO RESIDENTS — The Ohio laws against discrimination require that all creditors make credit equally available to all creditworthy customers and that credit reporting agencies maintain separate credit histories on each individual upon request. The Ohio Civil Rights Commission administers compliance with this law
1,37,"29. SOUTH DAKOTA RESIDENTS — If You believe there have been any improprieties in making this loan or in the lender’s loan practices, You may contact the South Dakota Division of Banking at 1601 N. Harrison Ave, Suite 1, Pierre, SD 57501, or by phone at 605.773.3421"
1,38,"30. WISCONSIN RESIDENTS — If You are married, please contact Us immediately upon receipt of this Agreement at the address or phone number listed on this Agreement and provide Us with the name and address of Your spouse. We are required to inform Your spouse that We have opened an Account for You"
1,39,"31. NOTICE TO UTAH BORROWERS — This written Agreement is a final expression of the Agreement between You and the Credit Union. This written Agreement may not be contradicted by evidence of any oral Agreement. As required by law, You are hereby notified that a negative credit report reflecting on Your credit record may be submitted to a credit reporting agency if You fail to fulfill the terms of Your credit obligations."
1,40,"32. THE FOLLOWING IS REQUIRED BY VERMONT LAW — NOTICE TO CO-SIGNER — YOUR SIGNATURE ON THIS NOTE MEANS THAT YOU ARE EQUALLY LIABLE FOR REPAYMENT OF THIS LOAN. IF THE BORROWER DOES NOT PAY, THE LENDER HAS A LEGAL RIGHT TO COLLECT FROM YOU. MASTERCARD IS A REGISTERED TRADEMARK, AND THE CIRCLES DESIGN IS A TRADEMARK OF MASTERCARD INTERNATIONAL INCORPORATED."
1,41,Your Billing Rights: Keep this Document for Future Use This notice tells You about Your rights and Our responsibilities under the Fair Credit Billing Act.
1,42,"What To Do If You Find A Mistake On Your Statement If You think there is an error on Your statement, write to Us at the address listed on Your statement. In Your letter, give Us the following information: - Account information: Your name and Account number. - Dollar amount: The dollar amount of the suspected error. - Description of problem: If You think there is an error on Your bill, describe what You believe is wrong and why You believe it is a mistake. You must contact Us: - Within 60 days after the error appeared on Your statement. - At least three business days before an automated payment is scheduled, if You want to stop payment on the amount You think is wrong. You must notify Us of any potential errors in writing or electronically. You may call Us, but if You do We are not required to investigate any potential errors and You may have to pay the amount in question."
1,43,"What Will Happen After We Receive Your Letter When We receive Your letter, We must do two things: 1. Within 30 days of receiving Your letter, We must tell You that We received Your letter. We will also tell You if We have already corrected the error. 2. Within 90 days of receiving Your letter, We must either correct the error or explain to You why We believe the bill is correct. While We investigate whether or not there has been an error: - We cannot try to collect the amount in question, or report You as delinquent on that amount. - The charge in question may remain on Your statement, and We may continue to charge You interest on that amount. - While You do not have to pay the amount in question, You are responsible for the remainder of Your balance. - We can apply any unpaid amount against Your credit limit. After We finish Our investigation, one of two things will happen: - If We made a mistake: You will not have to pay the amount in question or any interest or other fees related to that amount. - If We do not believe there was a mistake: You will have to pay the amount in question, along with applicable interest and fees. We will send You a statement of the amount You owe and the date payment is due. We may then report You as delinquent if You do not pay the amount We think You owe. If You receive Our explanation but still believe Your bill is wrong, You must write to Us within 10 days telling Us that You still refuse to pay. If You do so, We cannot report You as delinquent without also reporting that You are questioning Your bill. We must tell You the name of anyone to whom We reported You as delinquent, and We must let those organizations know when the matter has been settled between Us. If We do not follow all of the rules above, You do not have to pay the first $50 of the amount You question even if Your bill is correct."
1,44,"Your Rights if You Are Dissatisfied With Your Credit Card Purchases If You are dissatisfied with the goods or services that You have purchased with Your credit card, and You have tried in good faith to correct the problem with the merchant, You may have the right not to pay the remaining amount due on the purchase. To use this right, all of the following must be true: 1. The purchase must have been made in Your home state or within 100 miles of Your current mailing address, and the purchase price must have been more than $50. (Note: Neither of these are necessary if Your purchase was based on an advertisement We mailed to You, or if We own the company that sold You the goods or services.) 2. You must have used Your credit card for the purchase. Purchases made with cash advances from an ATM or with a check that accesses Your credit card Account do not qualify. 3. You must not yet have fully paid for the purchase. If all of the criteria above are met and You are still dissatisfied with the purchase, contact Us in writing or electronically at the address listed on Your statement. While We investigate, the same rules apply to the disputed amount as discussed above. After We finish Our investigation, We will tell You Our decision. At that point, if We think You owe an amount and You do not pay, We may report You as delinquent. Page 5 of"
2,1,"Annual Percentage Rate (APR) for Mastercard Standard Purchases 3.99% Introductory APR for a period of six billing cycles. After that, your APR will be 7.75% to 17.95%, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard Rewards 10.15% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard World Card 12.99% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate"
2,2,"APR for Balance Transfers Mastercard Standard 3.99% Introductory APR for a period of six billing cycles. After that, your APR will be 7.75% to 17.95%, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard Rewards 10.15% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard World Card 12.99% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate"
2,3,"APR for Cash Advances Mastercard Standard 7.75% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard Rewards 10.15% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate. Mastercard World Card 12.99% to 17.95%, when you open your account, based on your creditworthiness. This APR will vary with the market based on the Prime Rate."
2,4,"Penalty APR and When it Applies Mastercard Standard 17.95% Mastercard Rewards 17.95% Mastercard World Card 17.95% This APR may be applied to your account if you: - Make a late payment. How Long Will the Penalty APR Apply? If your APRs are increased for this reason, the Penalty APR will apply until you make six consecutive minimum payments when due"
2,5,How to Avoid Paying Interest on Your due date is at least 25 days after the close of each billing cycle. We will Purchases not charge you any interest on purchases if you pay your entire balance by the due date each month
2,6,Minimum Interest Charge None
2,7,"For Credit Card Tips from the To learn more about factors to consider when applying for or using a Consumer Financial Protection Bureau credit card, visit the website of the Consumer Financial Protection Bureau at http://www.consumerfinance.gov/learnmore."
2,8,Transaction Fees - Foreign Transaction Fee 1.00% of each transaction in U.S. dollars
2,9,Penalty Fees - Late Payment Fee Up to $28.00 - Returned Payment Fee Up to $28.00
2,10,"How We Will Calculate Your Balance: We use a method called ""average daily balance (including new purchases)."""
2,11,Promotional Period for Introductory APR - Mastercard Standard: The Introductory APR for purchases and balance transfers will apply to transactions posted to your account during the first six billing cycles following issuance of your card. Any existing balances on 1st Advantage Federal Credit Union loan or credit card accounts are not eligible for the Introductory APR for balance transfers
2,12,Loss of Introductory APR: We may end your Introductory APR for purchases and balance transfers and apply the prevailing non-introductory APR if you are 60 days late in making a payment.
2,13,Application of Penalty APR: Your APR may be increased to the disclosed Penalty APR if you are 60 days late in making a payment.
2,14,"Effective Date: The information about the costs of the card described in this application is accurate as of: 6/1/2020 This information may have changed after that date. To find out what may have changed, contact the Credit Union"
2,15,"For California Borrowers, the Mastercard Standard, Mastercard Rewards and Mastercard World Card are secured credit cards. Credit extended under this credit card account is secured by various personal property and money including, but not limited to: (a) any goods you purchase with this account, (b) any shares you specifically pledge as collateral for this account on a separate Pledge of Shares, (c) all shares you have in any individual or joint account with the Credit Union excluding shares in an Individual Retirement Account or in any other account that would lose special tax treatment under state or federal law, and (d) collateral securing other loans you have with the Credit Union excluding dwellings. Notwithstanding the foregoing, you acknowledge and agree that during any periods when you are a covered borrower under the Military Lending Act your credit card will be secured by any specific Pledge of Shares you grant us but will not be secured by all shares you have in any individual or joint account with the Credit Union. For clarity, you will not be deemed a covered borrower if: (i) you establish your credit card account when you are not a covered borrower; or (ii) you cease to be a covered borrower."
2,16,"Other Fees & Disclosures: Late Payment Fee: $28.00 or the amount of the required minimum payment, whichever is less, if you are 10 or more days late in making a payment"
2,17,"Returned Payment Fee: $28.00 or the amount of the required minimum payment, whichever is less"
2,18,Card Replacement Fee: $5.00
2,19,Rush Fee: $15.00 overnight.
2,20,Statement Copy Fee: $3.00 per document
2,21,Mastercard and the Mastercard Brand Mark are registered trademarks of Mastercard International Incorporated.
3,1,CARDHOLDER AGREEMENT Consumer This Agreement Describes Important Terms And Conditions That Apply to Your Credit Card Account.
3,2,"1. DEFINITIONS AGREEMENT AND DISCLOSURE: This Cardholder (the “Agreement”) governs Your credit card account (the “Account”) with MidFirst Bank, a federally chartered savings association. ACCOUNT DOCUMENTS: You have received or will receive certain documents in connection with Your Account that We reference collectively as the “Account Documents,” which include the following: 1. The Agreement and all future changes to the Agreement; 2. The Credit Card Account Opening Disclosure (“Disclosure”); 3. Any privacy notices that describe Our customer information practices; 4. All Billing Statements; 5. All documents and materials provided to You before You opened Your Account, including the Credit Card Application Disclosure; 6. All information related to the benefits associated with Your Account; and 7. Any rewards terms and conditions and related information, if Your Account has rewards. The Disclosure provides important information about annual percentage rates, specific types and amounts of interest charges and fees that may be charged to Your Account under certain circumstances, and other important information about Your Account. Please read the Agreement, the Disclosure, and Your other Account Documents carefully and retain for future reference. This Agreement contains an arbitration provision (including a class action arbitration waiver). It is also important that You read the entire “Claims and Arbitration of Disputes” section carefully."
3,3,"THE PARTIES: As used in this Agreement, the words “You” and “Your” mean each person named on the application for the Account and anyone else authorized to use the Account in any way. The terms “We,” “Us” and “Our” mean MidFirst Bank, a federally chartered savings association (“MidFirst”). Using or allowing someone else to use Your Account means You accept the terms of the Agreement. This Agreement contains Our most current terms and supersedes earlier materials You may have received."
3,4,"BALANCE CATEGORIES: We will keep track of the activity on Your Account in different “Balance Categories.” These are the Balance Categories We will use: “Purchases” result from use of Your card or Your Account number to purchase goods and services; “Cash Advances” result from Your cash advances, use of checks or similar instruments (including electronic form or otherwise) that We provide (unless We tell You they will be treated differently), and Cash Equivalent Transactions (defined below); “Balance Transfers” result from balances transferred from Other Accounts to Your Account by any means; and “Special Offers” result from use of Your card or Your Account number to take advantage of Introductory Rates or other special or promotional offers that We may make available to You. Each Special Offer may be considered a separate Balance Category. The amount and length of any Introductory Rate are described in the Disclosure"
3,5,"BILLING STATEMENT: We will send You “Billing Statements” (also referenced as “Statements” and “Periodic Statements”) showing Account information including, among other things, transactions posted to Your Account during a Billing Cycle, the Minimum Payment that is due on Your Account for the Billing Cycle and the due date. A “Billing Cycle” is a period of time determined by Us that is described on Your Billing Statement."
3,6,"2. USE OF YOUR ACCOUNT ACCOUNT USE: You may use Your card, Your Account number or checks, or similar instruments (including electronic form or otherwise) that We send to You (collectively, “Account Access Devices”) to make Purchases and Balance Transfers, and to obtain Cash Advances. Each time You use Your Account, You are representing that You intend, and have the ability, to repay all amounts due. You are responsible for all charges made by anyone You allow to use Your Account, even if they charge more than You intended. If You request that We issue a card or any Account Access Device to another person, You are responsible for all charges incurred by such person until You return their card to Us, or until You notify Us that use of their card or any Account Access Device is no longer authorized, whichever occurs first. We may, in Our discretion and to the extent permitted by law, restrict or refuse any request that We issue a card or any Account Access Device to another party. If unauthorized use of Your Account occurs, You agree to cooperate with law enforcement and Us in identifying the unauthorized user. As permitted by law, We may consider charges made by someone known to You (i.e. family member, relative, significant other, partner, roommate, co-worker, friend) using Your card or any Account Access Device as authorized by You. Each person named on the application for the Account and anyone else authorized to use the Account in any way is jointly and severally liable for all amounts due on this Account."
3,7,"CREDIT LIMIT/AUTHORIZATIONS: Your “Credit Limit” is the maximum amount of credit available under Your Account at any time. We will notify You of Your Credit Limit with Your Account Documents and on Your Billing Statements, and We may change or restrict Your credit availability at any time. You agree not to exceed the established Credit Limit and to pay any amount in excess of Your Credit Limit immediately. We are not obligated to allow the balance of Your Account to exceed its Credit Limit. If Your Account is a joint Account, each of You may request Credit Limit increases subject to applicable law. We may raise or lower Your Credit Limit at Our discretion and may restrict the amount of the Credit Limit available for Cash Advances and Balance Transfers. You may not use Your Account for (and We may decline authorization for) any illegal transaction. We may decline authorization for any Internet gambling transaction. We may, in Our discretion and to the extent permitted by law, restrict or delay the availability of credit to You for risk management purposes, and to protect You and Us against actual or potential fraud, unauthorized transactions, or claims. We are not liable for declining authorization for any particular transaction, regardless of reason."
3,8,"3. PAYMENTS PROMISE TO PAY: You promise to pay all amounts due on Your Account. You agree to review Your Billing Statements and to notify Us promptly of any errors (see “Your Billing Rights” below). You may pay all or part of the balance on Your Account at any time. However, You must pay at least the Minimum Payment shown on Your Billing Statement by the due date each month. You agree to follow the requirements for payments that We set forth on Your Billing Statement, including requirements that payments be made in U.S. dollars and checks be drawn on a U.S. bank. If We choose to accept a payment that is not in U.S. dollars or not drawn on a U.S. bank, You agree to pay any collection or conversion fees assessed to Us by third parties. We may accept payments which are marked “payment in full” or with similar markings without losing Our right to receive payment of all amounts due on Your Account. Partial payments offered in full satisfaction of a disputed amount must be sent to the address for notice of billing errors shown on Your Billing Statement. We reserve Our rights as to all such payments."
3,9,"MINIMUM PAYMENT CALCULATION: The “Minimum Payment” is the minimum dollar amount that is shown on Your Billing Statements that must be paid before the due date that is specified in Your Billing Statement each month. The Minimum Payment shall be: (A) Your total new balance if it is less than or equal to $25; or (B) The greater of (a) $25, or (b) the billed Interest Charges and billed late fees, if any, plus 1% of the total new balance. If Your Account balance exceeds Your Credit Limit, We will add to the Minimum Payment the amount necessary to reduce Your balance to Your approved Credit Limit. If Your Account is past due, We will also add any amount that is past due on Your Account"
3,10,"APPLICATION OF PAYMENTS: We may apply Your Minimum Payment to Balance Categories in the order We choose. We apply payment amounts above the Minimum Payment to the Balance Category with the highest Annual Percentage Rates, in descending order. Until We determine a payment is unlikely to be returned, Your available credit may not reflect the payment."
3,11,"APPLICATION OF CREDITS: We will apply credits, such as a merchant’s refund for goods or services purchased on Your Account, to Your Account as required by law. In some cases, credits may not be posted to Your Account until a Billing Cycle subsequent to the date of the credit transaction."
3,12,"4. INTEREST CHARGES & FEES FIXED RATE INFORMATION: If any Annual Percentage Rate is expressly labeled or described as “fixed” on Your Account, that fixed rate will not change for any reason during (i) its specified duration; or (ii) the life of the applicable balance or Account if either no duration is specified or the duration is indefinite. If any Annual Percentage Rate is not expressly labeled or described as “fixed,” it is variable."
3,13,"VARIABLE RATE INFORMATION: If any Annual Percentage Rate is variable, Your rate is determined by adding the applicable margin to the applicable Index, as described in the Disclosure. The daily periodic rate is 1/365th (1/366th during leap years) of the Annual Percentage Rate."
